City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shohimardon,39.9839,71.8028,20.43,43,0,0.48,UZ,1691632707
1,jamestown,42.097,-79.2353,20.8,68,0,2.06,US,1691632028
2,college,64.8569,-147.8028,22.55,70,75,4.63,US,1691632145
3,ushuaia,-54.8,-68.3,4.81,75,40,1.03,AR,1691632148
4,puerto natales,-51.7236,-72.4875,2.09,94,77,1.52,CL,1691632141
5,nemuro,43.3236,145.575,20.52,95,100,6.83,JP,1691632708
6,snihurivka,47.0758,32.8052,15.96,67,0,4.19,UA,1691632708
7,dudinka,69.4058,86.1778,13.68,63,100,9.5,RU,1691632147
8,bilibino,68.0546,166.4372,16.92,40,95,3.0,RU,1691631983
9,adamstown,-25.066,-130.1015,19.28,58,95,9.49,PN,1691632145
10,bethel,41.3712,-73.414,25.17,71,0,2.57,US,1691632130
11,whitehorse,60.7161,-135.0538,21.72,37,75,2.06,CA,1691631975
12,edinburgh of the seven seas,-37.0676,-12.3116,10.71,53,69,11.07,SH,1691632143
13,west island,-12.1568,96.8225,25.99,78,75,6.17,CC,1691632142
14,sterling,39.0062,-77.4286,26.79,72,75,2.24,US,1691632651
15,chonchi,-42.6128,-73.8092,9.56,91,96,3.99,CL,1691632188
16,port saint john's,-31.6229,29.5448,16.37,87,49,3.88,ZA,1691632178
17,kodiak,57.79,-152.4072,13.73,82,100,2.06,US,1691632154
18,vorkuta,67.5,64.0,11.55,71,75,4.87,RU,1691632152
19,waitangi,-43.9535,-176.5597,11.01,76,5,2.68,NZ,1691632146
20,saint-pierre,-21.3393,55.4781,19.82,64,40,4.12,RE,1691632711
21,constantia,44.1833,28.65,18.38,71,65,6.57,RO,1691632176
22,kuta,-8.7233,115.1723,23.97,88,40,1.54,ID,1691632711
23,huarmey,-10.0681,-78.1522,19.52,83,22,4.22,PE,1691632711
24,todos santos,23.45,-110.2167,29.13,77,17,3.21,MX,1691632712
25,guixi,28.2886,117.2133,30.53,71,36,1.04,CN,1691632712
26,edson,53.5835,-116.4356,19.08,63,0,4.63,CA,1691632712
27,port-vila,-17.7338,168.3219,24.78,53,40,5.66,VU,1691632517
28,mount isa,-20.7333,139.5,25.87,27,8,5.14,AU,1691632144
29,margaret river,-33.95,115.0667,11.08,83,100,1.48,AU,1691632156
30,kirkwall,58.9848,-2.9587,12.76,87,100,1.54,GB,1691632713
31,huayin,34.5675,110.0921,31.08,54,11,0.95,CN,1691632713
32,antsiranana,-12.2787,49.2917,19.75,85,0,2.16,MG,1691632713
33,blackmans bay,-43.0167,147.3167,14.07,76,99,2.89,AU,1691632140
34,iqaluit,63.7506,-68.5145,5.85,100,100,3.09,CA,1691632142
35,tabou,4.423,-7.3528,24.1,83,100,5.05,CI,1691632713
36,grytviken,-54.2811,-36.5092,-4.95,95,93,1.87,GS,1691632141
37,kayenta,36.7278,-110.2546,27.49,26,93,7.42,US,1691632714
38,port-aux-francais,-49.35,70.2167,3.38,84,100,10.57,TF,1691632143
39,calvinia,-31.4707,19.776,13.92,26,0,3.24,ZA,1691632714
40,isafjordur,66.0755,-23.124,7.09,81,48,3.27,IS,1691632167
41,sigtuna,59.6173,17.7236,12.45,93,75,4.12,SE,1691632714
42,nahariyya,33.0059,35.0941,27.95,67,16,0.97,IL,1691632715
43,new norfolk,-42.7826,147.0587,14.72,77,100,2.74,AU,1691632162
44,castillos,-34.1667,-53.8333,14.25,93,100,5.8,UY,1691632667
45,atafu village,-8.5421,-172.5159,28.02,79,36,6.49,TK,1691632145
46,richards bay,-28.783,32.0377,18.68,71,99,2.01,ZA,1691632715
47,turaif,31.6725,38.6637,23.14,25,0,4.12,SA,1691632715
48,kapuskasing,49.4169,-82.4331,19.05,72,75,1.54,CA,1691632716
49,mar del plata,-38.0023,-57.5575,12.83,94,75,3.6,AR,1691631905
50,san borja,-14.8167,-66.85,25.36,57,1,0.65,BO,1691632178
51,christchurch,-43.5333,172.6333,8.56,71,100,9.26,NZ,1691632060
52,fale old settlement,-9.3852,-171.2468,28.02,79,25,7.03,TK,1691632181
53,east london,-33.0153,27.9116,16.33,81,6,7.54,ZA,1691632157
54,wailua homesteads,22.0669,-159.378,31.24,74,75,9.77,US,1691632178
55,hamilton,39.1834,-84.5333,23.47,88,75,4.12,US,1691632147
56,olonkinbyen,70.9221,-8.7187,6.58,98,100,3.64,SJ,1691632145
57,gangtok,27.3333,88.6167,21.1,88,63,1.13,IN,1691632305
58,yellowknife,62.456,-114.3525,21.29,40,75,5.14,CA,1691632159
59,margate,51.3813,1.3862,15.39,83,0,3.14,GB,1691632717
60,altai,46.3722,96.2583,16.13,53,4,4.32,MN,1691632717
61,hermanus,-34.4187,19.2345,12.67,75,0,3.9,ZA,1691632186
62,port elizabeth,-33.918,25.5701,14.16,88,0,2.57,ZA,1691632163
63,sarmiento,-45.5882,-69.07,11.31,73,100,7.24,AR,1691632718
64,fort stockton,30.894,-102.8793,40.03,13,75,4.12,US,1691632718
65,bredasdorp,-34.5322,20.0403,9.88,89,1,1.76,ZA,1691632151
66,talnakh,69.4865,88.3972,13.45,56,100,2.11,RU,1691632158
67,fortuna,40.5982,-124.1573,20.52,83,75,5.14,US,1691632169
68,albany,42.6001,-73.9662,20.44,80,1,2.21,US,1691632143
69,permet,40.2336,20.3517,18.65,66,73,0.89,AL,1691632718
70,debre mark'os,10.35,37.7333,10.22,95,100,0.83,ET,1691632719
71,salalah,17.0151,54.0924,26.05,94,100,4.12,OM,1691632216
72,utrik,11.2278,169.8474,28.3,71,64,5.1,MH,1691632183
73,raduzhny,62.0961,77.475,10.55,96,100,6.02,RU,1691632719
74,tazacorte,28.629,-17.9293,23.54,93,0,6.69,ES,1691632100
75,fandriana,-20.2333,47.3833,9.77,93,0,1.13,MG,1691632719
76,codrington,-38.2667,141.9667,11.99,74,99,6.72,AU,1691632198
77,zarah sharan,33.1467,68.7917,22.5,52,0,1.48,AF,1691632720
78,uvel'skiy,54.4446,61.3574,14.02,83,27,3.74,RU,1691632720
79,puerto ayora,-0.7393,-90.3518,24.19,91,37,2.68,EC,1691632142
80,luderitz,-26.6481,15.1594,23.23,40,100,4.63,NA,1691632174
81,vadso,70.0744,29.7487,18.49,88,9,2.57,NO,1691632166
82,ilulissat,69.2167,-51.1,5.01,100,100,3.09,GL,1691632149
83,nuuk,64.1835,-51.7216,4.34,100,100,6.17,GL,1691632202
84,kingston,17.997,-76.7936,30.53,85,20,5.66,JM,1691632080
85,aasiaat,68.7098,-52.8699,3.13,90,90,4.44,GL,1691632140
86,gadzhiyevo,69.2551,33.3362,17.33,77,0,3.55,RU,1691632191
87,fort st. john,56.2499,-120.8529,21.94,46,75,4.63,CA,1691632198
88,ayr,55.4627,-4.6339,17.99,88,75,1.54,GB,1691632721
89,mapastepec,15.4333,-92.9,26.87,86,46,0.47,MX,1691632721
90,daru,-9.0763,143.2092,24.49,83,100,6.86,PG,1691632501
91,longyearbyen,78.2186,15.6401,10.91,54,0,4.12,SJ,1691632151
92,stanley,54.868,-1.6985,16.55,91,20,1.03,GB,1691631914
93,nar'yan-mar,67.6713,53.087,12.0,81,0,2.6,RU,1691632149
94,tralee,52.2704,-9.7026,15.49,91,20,3.91,IE,1691632225
95,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,53,40,2.0,RU,1691632143
96,afaahiti,-17.75,-149.2833,27.93,71,100,6.68,PF,1691632148
97,lebu,-37.6167,-73.65,11.46,88,56,5.85,CL,1691631982
98,tiksi,71.6872,128.8694,20.98,39,37,3.07,RU,1691632166
99,gao,16.6362,1.637,29.66,57,24,5.36,ML,1691632723
100,sarpol-e zahab,34.4611,45.8626,32.91,15,0,2.75,IR,1691632723
101,carutapera,-1.195,-46.02,24.68,88,21,3.02,BR,1691632149
102,coursan,43.2337,3.0571,22.67,61,89,1.03,FR,1691632723
103,badger,64.8,-147.5333,22.51,73,75,4.63,US,1691632150
104,avarua,-21.2078,-159.775,25.03,65,75,7.72,CK,1691632158
105,notodden,59.5594,9.2585,12.22,92,99,2.09,NO,1691632723
106,mandera,3.9366,41.867,24.83,58,92,6.56,KE,1691632724
107,pandan,14.0453,124.1694,30.96,64,69,2.87,PH,1691632724
108,ust-nera,64.5667,143.2,20.73,45,6,1.5,RU,1691632142
109,rhinelander,45.6366,-89.4121,19.09,72,20,0.0,US,1691632724
110,rio grande,-32.035,-52.0986,15.53,94,100,7.84,BR,1691631926
111,emerald,-23.5333,148.1667,21.3,50,0,2.83,AU,1691632685
112,port mathurin,-19.6833,63.4167,22.3,74,7,5.93,MU,1691632158
113,dunedin,-45.8742,170.5036,8.78,52,68,3.13,NZ,1691632194
114,taltal,-25.4,-70.4833,15.87,80,92,2.66,CL,1691632222
115,la foa,-21.7108,165.8276,18.94,62,76,8.48,NC,1691632725
116,puerto baquerizo moreno,-0.9,-89.6,23.68,80,64,3.05,EC,1691632172
117,newman,37.3138,-121.0208,34.05,49,0,1.79,US,1691632140
118,weno,7.4515,151.8468,28.35,74,88,4.07,FM,1691632170
119,quellon,-43.1167,-73.6167,11.14,87,75,6.17,CL,1691631974
120,punta arenas,-53.15,-70.9167,3.95,93,100,3.56,CL,1691632161
121,berezovyy,51.6667,135.7,22.1,53,92,1.87,RU,1691632726
122,chernomorskoye,45.5039,32.6997,21.93,65,0,8.25,UA,1691632726
123,remire-montjoly,4.9167,-52.2667,26.02,89,0,3.09,GF,1691632176
124,waddan,29.1614,16.139,23.24,67,0,2.86,LY,1691632726
125,torghay,49.6339,63.4981,21.42,67,19,2.29,KZ,1691632726
126,fomboni,-12.28,43.7425,24.68,75,0,7.26,KM,1691632726
127,praia da vitoria,38.7333,-27.0667,22.14,94,75,2.57,PT,1691632159
128,cabo san lucas,22.8909,-109.9124,32.01,75,5,4.57,MX,1691632682
129,lagos,6.5833,3.75,25.18,93,100,2.56,NG,1691632345
130,naxos,37.1056,25.3764,25.35,74,1,8.94,GR,1691632727
131,enewetak,11.3474,162.3373,28.75,75,74,6.35,MH,1691632155
132,alesund,62.4723,6.1549,11.06,94,100,4.12,NO,1691631897
133,cumana,10.4635,-64.1775,27.56,79,100,2.76,VE,1691632727
134,aldinga beach,-35.2793,138.4604,15.98,64,19,3.98,AU,1691632194
135,kikwit,-5.041,18.8162,24.84,53,32,0.99,CD,1691632728
136,zaozersk,69.4005,32.4476,18.34,74,0,1.92,RU,1691632224
137,ha'il,27.5219,41.6907,28.01,23,0,0.0,SA,1691632728
138,grande prairie,55.1667,-118.8027,19.1,68,75,0.0,CA,1691632568
139,chilaw,7.5758,79.7953,28.01,87,100,6.33,LK,1691632728
140,kostanay,53.1667,63.5833,17.16,77,0,5.0,KZ,1691632728
141,hawaiian paradise park,19.5933,-154.9731,27.73,74,75,3.6,US,1691632177
142,bom jesus,-9.0744,-44.3586,21.68,57,2,1.49,BR,1691632729
143,laibin,23.7,109.2667,29.8,73,46,1.92,CN,1691632729
144,oliver,49.1831,-119.5524,28.8,64,17,1.03,CA,1691632729
145,coquimbo,-29.9533,-71.3436,13.85,88,100,3.6,CL,1691631987
146,fethiye,36.6217,29.1164,22.93,74,0,0.68,TR,1691632729
147,vorgashor,67.5833,63.95,11.23,71,76,4.91,RU,1691632143
148,korla,41.7597,86.1469,30.68,20,0,6.83,CN,1691632216
149,chernyshevskiy,63.0128,112.4714,21.01,70,25,2.83,RU,1691632730
150,klyuchi,52.2667,79.1667,21.58,45,81,2.41,RU,1691632182
151,hadibu,12.65,54.0333,25.49,82,100,9.07,YE,1691632210
152,mitu,1.1983,-70.1733,22.45,98,80,0.61,CO,1691632167
153,reedsburg,43.5325,-90.0026,23.17,64,40,3.09,US,1691632730
154,happy valley-goose bay,53.3168,-60.3315,16.17,82,100,2.06,CA,1691632199
155,bathsheba,13.2167,-59.5167,28.34,89,20,4.63,BB,1691632731
156,arkhangel'sk,64.5401,40.5433,15.69,92,0,2.18,RU,1691632731
157,vilyuchinsk,52.9306,158.4028,22.15,66,2,2.61,RU,1691632174
158,cascais,38.6979,-9.4215,20.64,85,3,7.15,PT,1691632731
159,mariinsk,56.2139,87.7472,19.29,62,70,3.3,RU,1691632731
160,metlili chaamba,32.2667,3.6333,30.52,18,0,1.54,DZ,1691632731
161,glace bay,46.1969,-59.957,19.32,97,100,4.12,CA,1691632732
162,turhal,40.3875,36.0811,19.84,89,96,1.55,TR,1691632732
163,kabompo,-13.5927,24.2008,14.95,36,2,3.97,ZM,1691632732
164,sparti,37.0733,22.4297,23.3,90,0,0.58,GR,1691632732
165,ternate,0.8,127.4,28.02,71,81,4.43,ID,1691632733
166,nueva gerona,21.8833,-82.8,30.11,70,4,1.62,CU,1691632733
167,kyabe,9.4515,18.9449,19.99,97,100,0.75,TD,1691632733
168,kyzylorda,44.8528,65.5092,23.01,53,0,2.0,KZ,1691632733
169,georgetown,5.4112,100.3354,26.96,87,40,3.6,MY,1691631912
170,north bend,43.4065,-124.2243,22.73,83,40,4.63,US,1691632734
171,mejit,10.2753,170.8646,28.04,70,78,4.89,MH,1691632734
172,oytal,42.9057,73.2697,28.08,29,0,1.88,KZ,1691632734
173,calp,38.6447,0.0445,26.77,88,50,3.74,ES,1691632734
174,saint-philippe,-21.3585,55.7679,19.77,83,39,3.97,RE,1691632698
175,bambang,16.3833,121.1,30.93,60,88,1.79,PH,1691632734
176,papatowai,-46.5619,169.4708,5.66,73,40,3.53,NZ,1691632158
177,marsabit,2.3284,37.9899,15.61,77,55,7.97,KE,1691632735
178,el granada,37.5027,-122.4694,26.15,83,100,7.72,US,1691632735
179,el alto,-4.2714,-81.2147,21.81,86,26,7.01,PE,1691632735
180,mount gambier,-37.8333,140.7667,11.88,70,100,3.69,AU,1691632165
181,caleta de carquin,-11.0925,-77.6267,19.12,83,22,4.76,PE,1691632210
182,egilsstadir,65.2653,-14.3948,6.95,81,75,1.03,IS,1691632165
183,ivdel',60.6911,60.4206,14.46,92,100,1.78,RU,1691632735
184,anadyr,64.75,177.4833,13.28,66,75,5.0,RU,1691632166
185,zag,46.9441,99.165,17.55,52,21,1.24,MN,1691632736
186,ndele,8.4109,20.6473,19.76,98,100,0.55,CF,1691632736
187,geraldton,-28.7667,114.6,15.23,72,100,4.63,AU,1691632204
188,at taj,24.2049,23.2857,29.45,30,3,4.36,LY,1691632202
189,stephenville,32.2207,-98.2023,38.07,22,0,2.57,US,1691632207
190,nueve de julio,-35.4444,-60.8831,9.98,84,100,0.45,AR,1691632736
191,labrador city,52.9463,-66.9114,11.95,94,100,2.57,CA,1691632098
192,bucerias,20.75,-105.3333,25.55,89,37,1.59,MX,1691632737
193,tidjikja,18.5564,-11.4271,32.45,25,2,5.48,MR,1691632669
194,absecon,39.4285,-74.4957,26.09,71,0,3.6,US,1691632437
195,mersa matruh,31.3525,27.2453,26.11,73,0,2.57,EG,1691632184
196,hampton bays,40.869,-72.5176,25.48,82,0,1.54,US,1691632737
197,moussoro,13.6408,16.4901,24.26,83,100,4.68,TD,1691632557
198,fort bragg,35.139,-79.006,27.17,72,75,0.0,US,1691632192
199,uyskoye,54.3775,60.0047,15.79,79,29,2.24,RU,1691632738
200,dakhla,23.6848,-15.958,20.47,92,21,9.2,EH,1691632196
201,motygino,58.1831,94.7592,16.69,82,100,1.72,RU,1691632738
202,lucapa,-8.4192,20.7447,18.99,34,6,1.23,AO,1691632738
203,ecoporanga,-18.3733,-40.8306,19.01,94,45,1.12,BR,1691632738
204,lihue,21.9789,-159.3672,31.58,67,75,9.77,US,1691632165
205,neiafu,-18.65,-173.9833,28.38,74,20,1.03,TO,1691632738
206,greymouth,-42.4667,171.2,8.75,47,0,2.13,NZ,1691632172
207,meadow lakes,61.6247,-149.6011,17.69,84,75,0.0,US,1691632724
208,colonia,50.9333,6.95,14.34,84,0,0.51,DE,1691632198
